1 PSY 3555 2012: overall = 2.00, workload = 1.00, difficulty = 1.00
2 OEB 399 2012: overall = 4.17, workload = 1.00, difficulty = 1.00
3 GOV 3005 2011: overall = 4.00, workload = 1.00, difficulty = 1.00
4 HIST 3920hf 2011: overall = 2.88, workload = 1.00, difficulty = 1.22
5 OEB 399 2011: overall = 4.20, workload = 1.00, difficulty = 1.33
6 HIST 3920hf 2011: overall = 4.22, workload = 1.00, difficulty = 1.33
7 GOV 3005 2011: overall = 3.75, workload = 1.00, difficulty = 1.50
8 ASTRON 301hf 2011: overall = 4.25, workload = 1.00, difficulty = 1.55
9 DRAMA 110a 2011: overall = 4.94, workload = 1.06, difficulty = 1.44
10 OEB 399 2011: overall = 4.20, workload = 1.10, difficulty = 1.40
11 CHEM 301hf 2011: overall = 3.50, workload = 1.03, difficulty = 1.60
12 DRAMA 116 2011: overall = 3.85, workload = 1.17, difficulty = 1.38
13 ASTRON 301hf 2011: overall = 4.11, workload = 1.00, difficulty = 1.73
14 CHEM 301hf 2012: overall = 3.62, workload = 1.18, difficulty = 1.41
15 PSY 3555 2011: overall = 4.56, workload = 1.10, difficulty = 1.60
16 DRAMA 110 2011: overall = 4.89, workload = 1.06, difficulty = 1.72
17 ECON 2770hf 2012: overall = 5.00, workload = 1.00, difficulty = 2.00
18 NEUROBIO 95hfh 2011: overall = 4.10, workload = 1.00, difficulty = 2.00
19 ECON 2812hf 2012: overall = 4.50, workload = 1.00, difficulty = 2.00
20 ASTRON 301hf 2012: overall = 4.31, workload = 1.06, difficulty = 2.00
21 ESPP 90n 2012: overall = 4.45, workload = 1.09, difficulty = 2.00
22 NEUROBIO 95hfh 2012: overall = 4.54, workload = 1.15, difficulty = 1.92
23 NEUROBIO 95hfh 2011: overall = 4.50, workload = 1.20, difficulty = 1.90
24 ANTHRO 1065 2012: overall = 4.00, workload = 1.22, difficulty = 1.89
25 GOV 3001 2011: overall = 2.90, workload = 1.30, difficulty = 1.75
26 PSY 1005 2011: overall = 3.60, workload = 1.30, difficulty = 1.81
27 PHYSICS 302 2011: overall = 4.56, workload = 1.19, difficulty = 2.07
28 AESTH&INTP 36 2011: overall = 4.36, workload = 1.33, difficulty = 1.79
29 DRAMA 110 2012: overall = 4.94, workload = 1.22, difficulty = 2.06
30 ECON 2812hf 2011: overall = 4.00, workload = 1.00, difficulty = 2.50
31 PSY 1503 2011: overall = 4.20, workload = 1.34, difficulty = 1.82
32 CULTR&BLF 23 2012: overall = 4.25, workload = 1.35, difficulty = 1.85
33 OEB 253r 2011: overall = 4.29, workload = 1.14, difficulty = 2.29
34 GOV 3001 2012: overall = 2.94, workload = 1.44, difficulty = 1.72
35 HBTM 301qc 2011: overall = 4.20, workload = 1.20, difficulty = 2.20
36 CHEM 158 2011: overall = 4.23, workload = 1.31, difficulty = 2.00
37 CELTIC 138 2011: overall = 4.82, workload = 1.45, difficulty = 1.73
