1 ECON 3810chfr 2011: overall = 5.00, workload = 0.00, difficulty = 0.00
2 ECON 2480 2010: overall = 5.00, workload = 0.00, difficulty = 0.00
3 ECON 2162 2011: overall = 4.00, workload = 0.00, difficulty = 0.00
4 ECON 3810chfr 2011: overall = 5.00, workload = 1.00, difficulty = 0.00
5 ECON 2420hf 2010: overall = 3.00, workload = 0.00, difficulty = 0.00
6 ECON 2162 2011: overall = 5.00, workload = 1.00, difficulty = 1.00
7 ECON 2420hf 2011: overall = 2.00, workload = 0.00, difficulty = 0.00
8 ECON 2420hf 2010: overall = 2.00, workload = 0.00, difficulty = 0.00
9 ECON 2770hf 2012: overall = 5.00, workload = 1.00, difficulty = 2.00
10 ECON 2812hf 2012: overall = 4.50, workload = 1.00, difficulty = 2.00
11 ECON 2162 2012: overall = 5.00, workload = 1.00, difficulty = 3.00
12 ECON 2540hf 2011: overall = 5.00, workload = 1.00, difficulty = 3.00
13 ECON 2888r 2010: overall = 4.80, workload = 1.40, difficulty = 2.20
14 ECON 2490 2010: overall = 4.44, workload = 1.33, difficulty = 2.22
15 ECON 2490 2011: overall = 0.00, workload = 0.00, difficulty = 0.00
16 ECON 2670 2006: overall = 0.00, workload = 0.00, difficulty = 0.00
17 ECON 2490 2006: overall = 0.00, workload = 0.00, difficulty = 0.00
18 ECON 2325 2012: overall = 0.00, workload = 0.00, difficulty = 0.00
19 ECON 2888r 2011: overall = 5.00, workload = 1.50, difficulty = 2.50
20 ECON 2390b 2007: overall = 0.00, workload = 0.00, difficulty = 0.00
21 ECON 2888r 2012: overall = 0.00, workload = 0.00, difficulty = 0.00
22 ECON 2480 2010: overall = 0.00, workload = 0.00, difficulty = 0.00
23 ECON 2540hf 2010: overall = 0.00, workload = 0.00, difficulty = 0.00
24 ECON 2812hf 2010: overall = 5.00, workload = 0.00, difficulty = 5.00
25 ECON 2052 2011: overall = 0.00, workload = 0.00, difficulty = 0.00
26 ECON 1017 2008: overall = 4.21, workload = 1.36, difficulty = 2.06
27 ECON 2812hf 2011: overall = 4.00, workload = 1.00, difficulty = 2.50
28 ECON 2421 2010: overall = 4.00, workload = 1.00, difficulty = 2.50
29 ECON 1017 2006: overall = 3.76, workload = 1.10, difficulty = 2.17
30 ECON 1818 2006: overall = 4.12, workload = 1.18, difficulty = 2.41
31 ECON 2490 2009: overall = 4.67, workload = 1.50, difficulty = 2.50
32 ECON 1017 2010: overall = 4.31, workload = 1.56, difficulty = 2.28
33 ECON 2490 2008: overall = 4.40, workload = 1.60, difficulty = 2.40
34 ECON 2001 2010: overall = 4.00, workload = 1.00, difficulty = 3.00
35 ECON 2880 2010: overall = 4.18, workload = 1.45, difficulty = 2.45
36 ECON 2091 2012: overall = 4.45, workload = 1.70, difficulty = 2.42
37 ECON 2770hf 2011: overall = 4.67, workload = 1.50, difficulty = 3.00
38 ECON 2450b 2011: overall = 3.75, workload = 1.25, difficulty = 2.50
39 ECON 2770hf 2011: overall = 5.00, workload = 2.00, difficulty = 2.50
40 ECON 2058 2006: overall = 4.33, workload = 1.33, difficulty = 3.00
41 ECON 2056a 2012: overall = 4.86, workload = 1.57, difficulty = 3.14
42 ECON 2333 2007: overall = 5.00, workload = 2.14, difficulty = 2.43
43 ECON 1818 2007: overall = 3.86, workload = 1.29, difficulty = 2.71
44 ECON 2880 2009: overall = 4.00, workload = 1.50, difficulty = 2.50
45 ECON 2421 2011: overall = 4.50, workload = 1.50, difficulty = 3.00
46 ECON 1818 2010: overall = 3.62, workload = 1.25, difficulty = 2.54
47 ECON 1818 2008: overall = 3.61, workload = 1.45, difficulty = 2.30
48 ECON 1818 2009: overall = 3.84, workload = 1.46, difficulty = 2.54
49 ECON 980q 2008: overall = 4.38, workload = 1.86, difficulty = 2.43
50 ECON 2328 2009: overall = 4.17, workload = 1.67, difficulty = 2.58
51 ECON 1370 2009: overall = 3.12, workload = 1.40, difficulty = 2.00
52 ECON 2040 2009: overall = 4.38, workload = 1.75, difficulty = 2.69
53 ECON 1410 2006: overall = 4.56, workload = 1.72, difficulty = 2.94
54 ECON 2056a 2011: overall = 4.59, workload = 1.65, difficulty = 3.12
55 ECON 1410 2009: overall = 3.69, workload = 1.50, difficulty = 2.52
56 ECON 2070 2010: overall = 5.00, workload = 2.00, difficulty = 3.00
57 ECON 2040 2006: overall = 4.33, workload = 2.00, difficulty = 2.33
58 ECON 2726 2009: overall = 4.33, workload = 2.00, difficulty = 2.33
59 ECON 1760 2008: overall = 4.48, workload = 1.80, difficulty = 2.84
60 ECON 2040 2008: overall = 4.37, workload = 1.84, difficulty = 2.68
61 ECON 1370 2010: overall = 3.50, workload = 1.53, difficulty = 2.34
62 ECON 1545 2008: overall = 4.92, workload = 2.00, difficulty = 3.00
63 ECON 1056 2009: overall = 4.42, workload = 1.75, difficulty = 2.92
64 ECON 1070 2008: overall = 4.25, workload = 1.75, difficulty = 2.75
65 ECON 1432 2011: overall = 3.97, workload = 1.62, difficulty = 2.72
66 ECON 1545 2006: overall = 3.88, workload = 1.44, difficulty = 2.94
67 ECON 1535 2006: overall = 4.00, workload = 1.50, difficulty = 3.00
68 ECON 2058 2009: overall = 4.00, workload = 1.86, difficulty = 2.43
69 ECON 2080 2011: overall = 4.20, workload = 2.00, difficulty = 2.40
70 ECON 2056a 2010: overall = 4.80, workload = 2.08, difficulty = 2.88
71 ECON 2080 2008: overall = 4.22, workload = 1.89, difficulty = 2.62
72 ECON 1760 2011: overall = 4.17, workload = 1.67, difficulty = 2.94
73 ECON 1420 2007: overall = 4.12, workload = 1.74, difficulty = 2.79
74 ECON 1389 2009: overall = 4.45, workload = 1.95, difficulty = 2.80
75 ECON 1490 2010: overall = 4.73, workload = 2.23, difficulty = 2.62
76 ECON 2330 2011: overall = 4.86, workload = 2.00, difficulty = 3.14
77 ECON 1545 2007: overall = 4.82, workload = 2.09, difficulty = 3.00
78 ECON 2888r 2010: overall = 4.67, workload = 2.00, difficulty = 3.00
