1 DRAMA 110a 2011: overall = 4.94, workload = 1.06, difficulty = 1.44
2 OEB 399 2012: overall = 4.17, workload = 1.00, difficulty = 1.00
3 DRAMA 110 2011: overall = 4.89, workload = 1.06, difficulty = 1.72
4 ECON 2770hf 2012: overall = 5.00, workload = 1.00, difficulty = 2.00
5 GOV 3005 2011: overall = 4.00, workload = 1.00, difficulty = 1.00
6 HIST 3920hf 2011: overall = 4.22, workload = 1.00, difficulty = 1.33
7 OEB 399 2011: overall = 4.20, workload = 1.00, difficulty = 1.33
8 PSY 3555 2011: overall = 4.56, workload = 1.10, difficulty = 1.60
9 ASTRON 301hf 2011: overall = 4.25, workload = 1.00, difficulty = 1.55
10 OEB 399 2011: overall = 4.20, workload = 1.10, difficulty = 1.40
11 DRAMA 110 2012: overall = 4.94, workload = 1.22, difficulty = 2.06
12 ECON 2812hf 2012: overall = 4.50, workload = 1.00, difficulty = 2.00
13 ASTRON 301hf 2011: overall = 4.11, workload = 1.00, difficulty = 1.73
14 NEUROBIO 95hfh 2012: overall = 4.54, workload = 1.15, difficulty = 1.92
15 CELTIC 138 2011: overall = 4.82, workload = 1.45, difficulty = 1.73
16 ESPP 90n 2012: overall = 4.45, workload = 1.09, difficulty = 2.00
17 NEUROBIO 95hfh 2011: overall = 4.50, workload = 1.20, difficulty = 1.90
18 GOV 3005 2011: overall = 3.75, workload = 1.00, difficulty = 1.50
19 PSY 1053 2012: overall = 4.88, workload = 1.31, difficulty = 2.12
20 ASTRON 301hf 2012: overall = 4.31, workload = 1.06, difficulty = 2.00
21 DRAMA 116 2011: overall = 3.85, workload = 1.17, difficulty = 1.38
22 PHYSICS 302 2011: overall = 4.56, workload = 1.19, difficulty = 2.07
23 NEUROBIO 95hfh 2011: overall = 4.10, workload = 1.00, difficulty = 2.00
24 AESTH&INTP 36 2011: overall = 4.36, workload = 1.33, difficulty = 1.79
25 HBTM 340 2011: overall = 5.00, workload = 1.50, difficulty = 2.17
26 CHEM 301hf 2012: overall = 3.62, workload = 1.18, difficulty = 1.41
27 CHEM 301hf 2011: overall = 3.50, workload = 1.03, difficulty = 1.60
28 PORTUG Ad 2011: overall = 4.71, workload = 1.59, difficulty = 1.90
29 CULTR&BLF 23 2012: overall = 4.25, workload = 1.35, difficulty = 1.85
30 PSY 1503 2011: overall = 4.20, workload = 1.34, difficulty = 1.82
31 CELTIC 101 2011: overall = 4.64, workload = 1.45, difficulty = 2.09
32 NEUROBIO 95hfu 2011: overall = 4.92, workload = 1.58, difficulty = 2.17
33 ANTHRO 1130 2011: overall = 4.44, workload = 1.33, difficulty = 2.11
34 OEB 253r 2011: overall = 4.29, workload = 1.14, difficulty = 2.29
35 ANTHRO 1065 2012: overall = 4.00, workload = 1.22, difficulty = 1.89
36 MUSIC 1a 2012: overall = 4.29, workload = 1.21, difficulty = 2.21
37 GHHP 50 2011: overall = 4.76, workload = 1.48, difficulty = 2.24
38 DRAMA 105 2012: overall = 4.57, workload = 1.43, difficulty = 2.14
39 CHEM 158 2011: overall = 4.23, workload = 1.31, difficulty = 2.00
40 HBTM 301qc 2011: overall = 4.20, workload = 1.20, difficulty = 2.20
41 HIST 3920hf 2011: overall = 2.88, workload = 1.00, difficulty = 1.22
42 HEB 1377 2011: overall = 4.35, workload = 1.45, difficulty = 1.96
43 OEB 296 2011: overall = 4.58, workload = 1.58, difficulty = 2.00
44 CULTR&BLF 23 2011: overall = 4.25, workload = 1.46, difficulty = 1.93
45 NEUROBIO 95hfx 2011: overall = 4.89, workload = 1.67, difficulty = 2.22
46 SYSTBIO 212 2012: overall = 4.88, workload = 1.75, difficulty = 2.12
47 DRAMA 114 2011: overall = 5.00, workload = 1.64, difficulty = 2.43
48 PSY 18 2012: overall = 4.61, workload = 1.48, difficulty = 2.31
49 ECON 2812hf 2011: overall = 4.00, workload = 1.00, difficulty = 2.50
50 PHIL 312 2011: overall = 5.00, workload = 1.00, difficulty = 3.50
51 E&M-REASON 15 2012: overall = 4.13, workload = 1.39, difficulty = 2.00
52 HEB 1500 2011: overall = 4.60, workload = 1.60, difficulty = 2.13
53 VES 80 2012: overall = 5.00, workload = 1.92, difficulty = 2.00
54 PSY 1703 2011: overall = 4.23, workload = 1.41, difficulty = 2.11
55 MCB 208 2011: overall = 4.23, workload = 1.31, difficulty = 2.31
56 NEUROBIO 95hfd 2011: overall = 4.46, workload = 1.46, difficulty = 2.31
57 PORTUG Ac 2012: overall = 4.61, workload = 1.66, difficulty = 2.13
58 PSY 1507 2011: overall = 4.92, workload = 1.58, difficulty = 2.58
59 MBB 96 2011: overall = 4.67, workload = 1.58, difficulty = 2.33
60 AFRAMER 90r.g 2011: overall = 4.08, workload = 1.27, difficulty = 2.27
61 CULTR&BLF 27 2012: overall = 4.45, workload = 1.60, difficulty = 2.10
62 NEUROBIO 95hfd 2012: overall = 4.45, workload = 1.45, difficulty = 2.36
63 BCMP 230 2012: overall = 3.93, workload = 1.34, difficulty = 2.03
64 PSY 1005 2011: overall = 3.60, workload = 1.30, difficulty = 1.81
65 PSY 980k 2011: overall = 4.67, workload = 1.58, difficulty = 2.42
66 CHEM 170 2012: overall = 4.64, workload = 1.64, difficulty = 2.29
67 GOV 3005 2012: overall = 4.20, workload = 1.20, difficulty = 2.60
68 PSY 1900 2011: overall = 4.40, workload = 1.57, difficulty = 2.20
69 PORTUG Ac 2011: overall = 4.41, workload = 1.71, difficulty = 1.98
70 HISTSCI 153 2011: overall = 4.38, workload = 1.69, difficulty = 2.00
